식별자,기관명,기관유형,관할지원청,학교급,주소,위도,경도,사용자정의_메모
qa-pregeo-001,QA 사전좌표 001 <script>alert(1)</script>,school,main,유치원,인천광역시 QA구 사전좌표로 1,37.320000,126.480000,synthetic-pregeocoded-main-school
qa-pregeo-002,QA 사전좌표 002 headquarters,headquarters,ganghwa,,인천광역시 QA구 사전좌표로 2,37.324100,126.485200,synthetic-pregeocoded-ganghwa-headquarters
qa-pregeo-003,QA 사전좌표 003 support-office,support-office,south,,인천광역시 QA구 사전좌표로 3,37.328200,126.490400,synthetic-pregeocoded-south-support-office
qa-pregeo-004,QA 사전좌표 004 direct-agency,direct-agency,north,,인천광역시 QA구 사전좌표로 4,37.332300,126.495600,synthetic-pregeocoded-north-direct-agency
qa-pregeo-005,QA 사전좌표 005 library,library,east,,인천광역시 QA구 사전좌표로 5,37.336400,126.500800,synthetic-pregeocoded-east-library
qa-pregeo-006,QA 사전좌표 006 experience-site,experience-site,west,,인천광역시 QA구 사전좌표로 6,37.340500,126.506000,synthetic-pregeocoded-west-experience-site
qa-pregeo-007,QA 사전좌표 007 partner,partner,unassigned,,인천광역시 QA구 사전좌표로 7,37.344600,126.511200,synthetic-pregeocoded-unassigned-partner
qa-pregeo-008,QA 사전좌표 008 imported,imported,main,,인천광역시 QA구 사전좌표로 8,37.348700,126.516400,synthetic-pregeocoded-main-imported
qa-pregeo-009,QA 사전좌표 009 school,school,ganghwa,중학교,인천광역시 QA구 사전좌표로 9,37.352800,126.521600,synthetic-pregeocoded-ganghwa-school
qa-pregeo-010,QA 사전좌표 010 headquarters,headquarters,south,,인천광역시 QA구 사전좌표로 10,37.356900,126.526800,synthetic-pregeocoded-south-headquarters
qa-pregeo-011,QA 사전좌표 011 support-office,support-office,north,,인천광역시 QA구 사전좌표로 11,37.361000,126.532000,synthetic-pregeocoded-north-support-office
qa-pregeo-012,QA 사전좌표 012 direct-agency,direct-agency,east,,인천광역시 QA구 사전좌표로 12,37.365100,126.537200,synthetic-pregeocoded-east-direct-agency
qa-pregeo-013,QA 사전좌표 013 library,library,west,,인천광역시 QA구 사전좌표로 13,37.369200,126.542400,synthetic-pregeocoded-west-library
qa-pregeo-014,QA 사전좌표 014 experience-site,experience-site,unassigned,,인천광역시 QA구 사전좌표로 14,37.373300,126.547600,synthetic-pregeocoded-unassigned-experience-site
qa-pregeo-015,QA 사전좌표 015 partner,partner,main,,인천광역시 QA구 사전좌표로 15,37.377400,126.552800,synthetic-pregeocoded-main-partner
qa-pregeo-016,QA 사전좌표 016 imported,imported,ganghwa,,인천광역시 QA구 사전좌표로 16,37.381500,126.558000,synthetic-pregeocoded-ganghwa-imported
qa-pregeo-017,QA 사전좌표 017 school,school,south,특수학교,인천광역시 QA구 사전좌표로 17,37.385600,126.563200,synthetic-pregeocoded-south-school
qa-pregeo-018,QA 사전좌표 018 headquarters,headquarters,north,,인천광역시 QA구 사전좌표로 18,37.389700,126.568400,synthetic-pregeocoded-north-headquarters
qa-pregeo-019,QA 사전좌표 019 support-office,support-office,east,,인천광역시 QA구 사전좌표로 19,37.393800,126.573600,synthetic-pregeocoded-east-support-office
qa-pregeo-020,QA 사전좌표 020 direct-agency,direct-agency,west,,인천광역시 QA구 사전좌표로 20,37.397900,126.578800,synthetic-pregeocoded-west-direct-agency
qa-pregeo-021,QA 사전좌표 021 library,library,unassigned,,인천광역시 QA구 사전좌표로 21,37.402000,126.584000,synthetic-pregeocoded-unassigned-library
qa-pregeo-022,QA 사전좌표 022 experience-site,experience-site,main,,인천광역시 QA구 사전좌표로 22,37.406100,126.589200,synthetic-pregeocoded-main-experience-site
qa-pregeo-023,QA 사전좌표 023 partner,partner,ganghwa,,인천광역시 QA구 사전좌표로 23,37.410200,126.594400,synthetic-pregeocoded-ganghwa-partner
qa-pregeo-024,QA 사전좌표 024 imported,imported,south,,인천광역시 QA구 사전좌표로 24,37.414300,126.599600,synthetic-pregeocoded-south-imported
qa-pregeo-025,QA 사전좌표 025 school,school,north,유치원,인천광역시 QA구 사전좌표로 25,37.418400,126.604800,synthetic-pregeocoded-north-school
qa-pregeo-026,QA 사전좌표 026 headquarters,headquarters,east,,인천광역시 QA구 사전좌표로 26,37.422500,126.610000,synthetic-pregeocoded-east-headquarters
qa-pregeo-027,QA 사전좌표 027 support-office,support-office,west,,인천광역시 QA구 사전좌표로 27,37.426600,126.615200,synthetic-pregeocoded-west-support-office
qa-pregeo-028,QA 사전좌표 028 direct-agency,direct-agency,unassigned,,인천광역시 QA구 사전좌표로 28,37.430700,126.620400,synthetic-pregeocoded-unassigned-direct-agency
qa-pregeo-029,QA 사전좌표 029 library,library,main,,인천광역시 QA구 사전좌표로 29,37.434800,126.625600,synthetic-pregeocoded-main-library
qa-pregeo-030,QA 사전좌표 030 experience-site,experience-site,ganghwa,,인천광역시 QA구 사전좌표로 30,37.438900,126.630800,synthetic-pregeocoded-ganghwa-experience-site
qa-pregeo-031,QA 사전좌표 031 partner,partner,south,,인천광역시 QA구 사전좌표로 31,37.443000,126.636000,synthetic-pregeocoded-south-partner
qa-pregeo-032,QA 사전좌표 032 imported,imported,north,,인천광역시 QA구 사전좌표로 32,37.447100,126.480130,synthetic-pregeocoded-north-imported
qa-pregeo-033,QA 사전좌표 033 school,school,east,중학교,인천광역시 QA구 사전좌표로 33,37.451200,126.485330,synthetic-pregeocoded-east-school
qa-pregeo-034,QA 사전좌표 034 headquarters,headquarters,west,,인천광역시 QA구 사전좌표로 34,37.455300,126.490530,synthetic-pregeocoded-west-headquarters
qa-pregeo-035,QA 사전좌표 035 support-office,support-office,unassigned,,인천광역시 QA구 사전좌표로 35,37.459400,126.495730,synthetic-pregeocoded-unassigned-support-office
qa-pregeo-036,QA 사전좌표 036 direct-agency,direct-agency,main,,인천광역시 QA구 사전좌표로 36,37.463500,126.500930,synthetic-pregeocoded-main-direct-agency
qa-pregeo-037,QA 사전좌표 037 library,library,ganghwa,,인천광역시 QA구 사전좌표로 37,37.467600,126.506130,synthetic-pregeocoded-ganghwa-library
qa-pregeo-038,QA 사전좌표 038 experience-site,experience-site,south,,인천광역시 QA구 사전좌표로 38,37.320110,126.511330,synthetic-pregeocoded-south-experience-site
qa-pregeo-039,QA 사전좌표 039 partner,partner,north,,인천광역시 QA구 사전좌표로 39,37.324210,126.516530,synthetic-pregeocoded-north-partner
